Pic,Pic #of char,Description - can be same as pic,direct quote,Description #of char,Reference,Provider,Ready for production,Maria Aproved,Ben Approuved
How long your life will be won't depend on your lifetime.,57,"Life can seem short or life can seem long, depending on how you live it.",Yes,72,Paulo Coelho,Maria,yes,1,1
"Do not seek safety. Give up, that's safety!",43,"What we have to discover is that there is no safety, that seeking is painful, and that when we imagine that we have found it, we don’t like it.",Yes,143,Allan Watts ,Maria,yes,1,1
Everything and nothing. This is what you are.,45,"Love says ‘I am everything.’ Wisdom says ‘I am nothing’. Between the two, my life flows",Yes,87,Nisargadatta Maharaj,Maria,yes,1,1
You are not your thoughts or feelings.,38,What a liberation to realize that the voice in my head is not who I am. Who am I then? The one who sees that.,Yes,109,Eckhart Tolle,Maria,yes,1,1
Anger is only a cover.,22,"Where there is anger, there is always pain underneath.",Yes,54,Eckhart Tolle,Maria,yes,1,1
Trying to control controls you.,31,"When we attempt to exercise power or control over someone else, we cannot avoid giving that person the very same power or control over us.",Yes,138,Allan Watts ,Maria,yes,1,1
